code,name,country
1203409,920-7143,CT
1203410,920-6232,CT
1203411,99999-MULT,CT
1203412,920-9748,CT
1203413,132-4152,CT
1203414,920-4036,CT
1203415,920-4036,CT
1203416,920-9147,CT
1203417,920-4036,CT
1203418,920-7143,CT
1203419,920-9147,CT
1203420,920-9147,CT
1203421,920-9147,CT
1203422,132-9104,CT
1203423,920-7143,CT
1203424,920-6664,CT
1203425,920-9147,CT
1203426,920-9147,CT
1203427,920-7229,CT
1203428,920-7230,CT
1203429,920-7230,CT
1203430,920-4036,CT
1203431,920-9147,CT
1203432,920-9147,CT
1203433,920-7621,CT
1203434,920-6624,CT
1203435,920-6624,CT
1203436,920-9147,CT
1203437,920-7230,CT
1203438,920-9147,CT
1203439,920-7077,CT
1203440,920-7077,CT
1203441,920-7143,CT
1203442,920-7143,CT
1203443,920-7230,CT
1203444,920-4036,CT
1203445,920-9147,CT
1203446,920-7143,CT
1203447,920-7143,CT
1203448,920-7230,CT
1203449,920-6664,CT
1203450,920-6388,CT
1203451,920-4036,CT
1203452,920-9147,CT
1203453,920-9147,CT
1203454,920-9147,CT
1203455,920-7230,CT
1203456,920-6388,CT
1203457,920-9147,CT
1203458,920-9147,CT
1203459,920-9147,CT
1203460,920-7421,CT
1203461,920-9147,CT
1203462,920-9147,CT
1203463,920-7143,CT
1203464,920-6388,CT
1203465,920-9147,CT
1203466,920-9147,CT
1203467,920-9147,CT
1203468,920-9147,CT
1203469,920-9147,CT
1203470,920-6388,CT
1203471,99999-9147,CT
1203472,99999-9147,CT
1203473,99999-9147,CT
1203474,99999-9147,CT
1203475,99999-MULT,CT
1203476,99999-9147,CT
1203477,920-6630,CT
1203478,99999-9147,CT
1203479,920-9147,CT
1203480,920-7230,CT
1203481,920-9147,CT
1203482,920-4036,CT
1203483,920-9147,CT
1203484,920-9147,CT
1203485,132-4950,CT
1203486,920-9147,CT
1203487,920-3493,CT
1203488,920-9147,CT
1203489,132-4950,CT
1203490,920-7143,CT
1203491,920-199F,CT
1203492,920-9147,CT
1203493,920-4800,CT
1203494,920-6388,CT
1203495,920-9147,CT
1203496,132-6232,CT
1203497,920-9147,CT
1203498,920-9147,CT
1203499,920-9147,CT
1203500,920-4036,CT
1203501,920-6388,CT
